##########################																						
# BLAST-Pol "bolo table" 2012																						
#																						
# Most recent updates in each category:																						
#   - to noise fit (WhiteNoise, 1/f, alpha):  SJB 18 Dec 2013																						
#   - to pixel offsets (EL, XEL):             JAS 20 Oct 2013																						
# Chi_250	0																					
# Chi_350	0																					
# Chi_500	0																					
Name	N	C	Type	EL	XEL	Angle	pix	LR1	LR2	CRJ	BW	Resp.	S	WhiteNoise	1/f	Res.	Chi	p_eff	q_ip	u_ip	alpha	Old																						
B2D10H	23	5	250	47.874408	-123.15485	0	D10	8.36	8.36	0	0	1	0	3.8139086e-06	0.090386381	1.88	12	1	0.0062	-0.0214	1.1926371	N7C5
B2D11V	23	0	250	47.244711	-178.07657	90	D11	8.32	8.32	0	0	1	0	3.8442578e-06	0.065036509	2	12	1	0.0088	-0.0159	1.529138	N7C0
B2D12H	22	18	250	42.731149	-234.99544	0	D12	8.4	8.38	0	0	1	0	4.127217e-06	0.13211801	1.86	12	1	0.0145	-0.0108	0.8809184	N6C18
B2D13V	22	15	250	41.625949	-291.23434	90	D13	8.42	8.4	0	0	1	0	4.102125e-06	0.076205274	1.94	12	1	0.0077	-0.0035	1.4254151	N6C15
B2D14H	22	9	250	35.274502	-348.6058	0	D14	8.48	8.4	0	0	1	0	4.155332e-06	0.08369774	nan	12	1	0.0175	-0.0065	1.3559727	N6C9
B2D15V	22	6	250	33.536746	-404.30946	90	D15	8.48	8.42	0	0	1	0	4.4129916e-06	0.078701007	2.11	12	1	0.0083	-0.0067	1.4068239	N6C6
B2D16H	22	1	250	27.286386	-463.61042	0	D16	8.44	8.4	0	0	1	0	4.5495429e-06	0.099525703	2.26	12	1	0.0141	-0.0159	1.1801757	N6C1
B2D2	17	21	D250	0	0	90	DK2	8.99	9.08	0	0	1	0	0	0	2.43	12	1	0	0	1	N8C21
B2E01V	18	0	250	21.724136	353.299	90	E01	8.84	8.92	0	0	1	0	3.8121513e-06	0.058140718	2.4	12	1	-0.0107	-0.0149	1.749788	N9C0
B2E02H	18	12	250	19.522205	296.34209	0	E02	8.88	8.92	0	0	1	0	3.6752937e-06	0.053003307	2.03	12	1	0.0204	-0.0077	1.8771957	N9C12
B2E03V	18	17	250	17.407681	241.80017	90	E03	8.88	8.88	0	0	1	0	3.7165633e-06	0.059370678	1.94	12	1	-0.0087	-0.0196	1.627913	N9C17
B2E04H	18	21	250	14.493251	184.44652	0	E04	8.75	8.75	0	0	1	0	3.8698571e-06	0.054610306	1.9	12	1	0.0092	-0.0035	1.751288	N9C21
B2E05V	19	4	250	13.13993	128.85789	90	E05	8.66	8.64	0	0	1	0	5.7636755e-06	0.061611571	1.99	12	1	0.0071	0.002	1.4029747	N5C4
B2E06H	23	22	250	10.018926	72.321099	0	E06	8.44	8.44	0	0	1	0	3.6141358e-06	0.059647106	2.09	12	1	0.0086	-0.0135	1.6290182	N7C22
B2E07V	23	17	250	8.2233582	16.901424	90	E07	8.4	8.47	0	0	1	0	3.7176432e-06	0.066294086	1.94	12	1	0.0117	-0.0075	1.535613	N7C17
B2E08H	23	13	250	4.8553367	-39.67756	0	E08	8.36	8.4	0	0	1	0	3.7940697e-06	0.063428762	1.85	12	1	0.0011	-0.0124	1.5292246	N7C13
B2E09V	23	7	250	1.1465997	-96.437433	90	E09	8.32	8.36	0	0	1	0	3.88214e-06	0.072733487	1.86	12	1	0.0127	-0.0141	1.4500446	N7C7
B2E10H	23	2	250	-1.8849697	-151.68594	0	E10	8.4	8.36	0	0	1	0	4.0695029e-06	0.061896964	1.98	12	1	0.0036	-0.0221	1.5779542	N7C2
B2E11V	22	20	250	-3.5642241	-207.10318	90	E11	8.4	8.38	0	0	1	0	3.7793575e-06	0.069517369	1.87	12	1	0.0027	-0.0093	1.4871654	N6C20
B2E12H	17	2	250	-7.4494385	-264.59331	0	E12	8.92	9	0	0	1	0	4.2767461e-06	0.060107697	1.99	12	1	0.0086	-0.0142	1.6132168	N8C2
B2E13V	17	6	250	-8.7476119	-320.5984	90	E13	8.92	9.03	0	0	1	0	4.3191164e-06	0.087284662	2.06	12	1	0.0122	-0.0006	1.2598854	N8C6
B2E14H	17	11	250	-14.185623	-377.824	0	E14	9	9.04	0	0	1	0	4.6505691e-06	0.074175503	2.15	12	1	0.004	-0.0123	1.3374036	N8C11
B2E15V	17	23	250	-15.320587	-434.54768	90	E15	9	9.08	0	0	1	0	4.588497e-06	0.063385137	2.6	12	1	0.0197	0.0006	1.6609747	N8C23
B2F01V	18	1	250	-26.893424	381.15748	90	F01	8.84	8.92	0	0	1	0	3.6741434e-06	0.07631832	2.34	12	1	-0.0099	-0.0287	1.4581555	N9C1
B2F02H	18	7	B250	-45.515166	-63.659614	0	F02	8.88	inf	0	0	1	0	0	0	2.16	12	1	0	0	1	N9C7
B2F03V	18	13	250	-30.937163	269.90761	90	F03	8.96	8.96	0	0	1	0	2.1577025e-07	10939.304	1.98	12	1	-0.0018	-0.0067	0.39050007	N9C13
B2F04H	18	18	250	-33.805587	212.055	0	F04	8.88	8.88	0	0	1	0	3.5363145e-06	0.059847766	1.89	12	1	0.0038	-0.0077	1.5948012	N9C18
B2F05V	18	23	250	-34.406726	157.28254	90	F05	8.71	8.75	0	0	1	0	3.4000112e-06	0.061256284	1.79	12	1	0.0054	-0.0092	1.6697304	N9C23
B2F06H	21	3	250	-38.663037	99.99164	0	F06	8.72	8.8	0	0	1	0	3.5981083e-06	0.050177939	1.95	12	1	-0.0008	-0.0137	1.8367059	N10C3
B2F07V	21	6	250	-39.72927	44.699145	90	F07	8.74	8.82	0	0	1	0	3.6920327e-06	0.074150055	1.89	12	1	0.0123	-0.0152	1.3453513	N10C6
B2F08H	21	10	250	-43.952967	-11.50007	0	F08	8.8	8.85	0	0	1	0	3.7424843e-06	0.090945186	1.77	12	1	-0.0019	-0.014	1.1642241	N10C10
B2F09V	21	13	250	-44.61042	-67.8491	90	F09	8.91	8.92	0	0	1	0	4.078669e-06	0.04470209	1.84	12	1	0.0131	-0.014	1.954878	N10C13
B2F10H	21	17	250	-47.76836	-123.3239	0	F10	8.88	8.94	0	0	1	0	3.9502975e-06	0.063444922	1.94	12	1	-0.0033	-0.0142	1.5591909	N10C17
B2F11V	21	20	250	-50.66308	-180.39753	90	F11	8.88	8.92	0	0	1	0	4.5399846e-06	0.070614445	2.03	12	1	0.0149	-0.0152	1.3372562	N10C20
B2F12H	17	0	250	-56.863477	-238.24494	0	F12	8.9	8.92	0	0	1	0	3.930849e-06	0.07307561	1.89	12	1	0.007	-0.0106	1.3987492	N8C0
B2F13V	17	5	250	-56.913314	-294.62014	90	F13	8.99	9.03	0	0	1	0	4.2208902e-06	0.059240077	2	12	1	0.0164	-0.0081	1.6085739	N8C5
B2F14H	17	10	250	-62.358232	-352.92656	0	F14	9	9.04	0	0	1	0	4.4124535e-06	0.25176507	2.11	12	1	0.0088	-0.0151	0.64983833	N8C10
B2F15V	17	16	250	-63.604025	-408.3088	90	F15	9.02	9.05	0	0	1	0	4.3975524e-06	0.084858854	2.4	12	1	0.0126	0.0038	1.314782	N8C16
B2F16H	17	22	250	-69.519446	-466.73987	0	F16	9	9.08	0	0	1	0	4.6813508e-06	0.078239581	2.55	12	1	0.0064	-0.0035	1.3751843	N8C22
B2G01V	18	4	250	-76.256538	353.56111	90	G01	8.8	8.92	0	0	1	0	3.6833099e-06	0.06376884	2.21	12	1	-0.0033	-0.0284	1.5516769	N9C4
B2G02H	18	9	B250	-89.65	336.92	0	G02	8.84	8.88	0	0	1	0	4.49e-06	0.110039	2.04	12	1	0	0	193	N9C9
B2G03V	18	14	250	-80.30021	241.04103	90	G03	8.88	8.88	0	0	1	0	3.578275e-06	0.085033419	1.96	12	1	-0.0027	-0.0178	1.2359609	N9C14
B2G04H	18	19	250	-83.249194	183.61008	0	G04	8.8	8.8	0	0	1	0	3.6733397e-06	0.071860963	1.83	12	1	0.0045	-0.0049	1.3483643	N9C19
B2G05V	21	0	250	-86.714346	126.70168	90	G05	8.72	8.74	0	0	1	0	3.3435906e-06	0.066487865	2.03	12	1	0.0038	-0.0081	1.4973855	N10C0
B2G06H	21	4	250	-88.430886	70.201726	0	G06	8.72	8.79	0	0	1	0	3.5665605e-06	0.059056664	1.89	12	1	0.0071	-0.0107	1.6748785	N10C4
B2G07V	21	8	250	-90.093416	14.517778	90	G07	8.76	8.8	0	0	1	0	3.4600928e-06	0.051497481	1.82	12	1	0.0086	-0.0187	1.785744	N10C8
B2G08H	21	11	250	-93.847351	-40.789568	0	G08	8.8	8.88	0	0	1	0	4.5928836e-06	0.070663811	1.73	12	1	0.0163	-0.016	1.3251257	N10C11
B2G09V	21	15	250	-96.805188	-98.928793	90	G09	8.84	8.92	0	0	1	0	3.6339089e-06	0.059279966	1.86	12	1	0.0144	-0.0164	1.6201037	N10C15
B2G10H	21	19	250	-100.86443	-155.7493	0	G10	8.89	8.94	0	0	1	0	3.9184751e-06	0.063737504	1.98	12	1	-0.0004	-0.0078	1.529163	N10C19
B2G11V	21	23	250	-101.94552	-212.72268	90	G11	8.8	8.88	0	0	1	0	3.7448627e-06	0.079749683	nan	12	1	0.0084	-0.0217	1.2916555	N10C23
B2G12H	17	4	250	-107.14779	-268.97527	0	G12	8.92	9	0	0	1	0	4.1899184e-06	0.086559997	1.95	12	1	0.0036	-0.0078	1.2193817	N8C4
B2G13V	17	9	250	-108.33924	-324.94053	90	G13	8.96	9.04	0	0	1	0	4.1235369e-06	0.08761501	2.05	12	1	0.0131	-0.0052	1.220003	N8C9
